Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,5.0,5.5,11.0,0.010777094881398313
2,6.0,8.5,15.0,0.006385230375837868
3,10.5,11.5,19.5,0.01312398284396426
4,13.0,20.5,31.0,0.013177169195769278
5,15.5,34.0,46.0,0.01490405632948038
6,16.5,49.5,65.0,0.0105854344078295
7,36.5,82.5,99.5,0.024308777156218424
8,41.5,102.5,122.5,0.023667905861484564
9,41.5,118.0,141.0,0.022660886037336403
10,51.5,128.0,159.0,0.027279371882622902
11,54.0,136.0,169.5,0.02848734878829566
12,54.5,136.0,169.5,0.02852229069264202
