Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,0.0,0.0,0.005208333333333345
2,3.6,0.8,4.4,0.04007981141727611
3,6.1,1.7,8.1,0.03620217677431613
4,16.0,7.1,23.1,0.04216340938485234
5,20.3,9.5,29.3,0.04148032549113935
6,23.6,11.0,33.8,0.04008951531080425
7,30.4,14.6,43.9,0.04206052153248896
8,36.1,17.9,52.6,0.04355553283807506
9,37.9,18.2,55.1,0.04415436447404346
10,38.7,18.8,56.3,0.04361725478982971
11,39.3,18.9,57.1,0.043478154448386507
12,39.3,19.0,57.2,0.04359454959300407
