Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,13.0,10.5,13.5,0.025173954179418655
2,24.0,24.0,40.0,0.025929921397922853
3,33.5,43.0,64.5,0.026324468108814288
4,65.5,54.0,115.0,0.02373570869274593
5,72.0,66.5,135.5,0.019515278167456487
6,89.5,74.0,156.5,0.021773201569264933
7,93.5,103.5,165.5,0.02005723309355991
8,117.0,140.0,194.5,0.02525144069314684
9,119.0,159.0,227.0,0.02295883658023543
10,144.0,163.0,253.5,0.025864378313711425
11,153.5,166.5,267.0,0.027122973278186188
12,167.5,168.5,286.5,0.029614674077673923
