Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,2.5,2.5,0.00725163367301183
2,0.0,15.5,15.5,0.0046808175534551
3,2.5,31.5,32.0,0.008430324332205327
4,3.5,49.0,50.5,0.005389422992618882
5,4.5,56.5,59.0,0.005522865891146815
6,9.5,102.5,109.0,0.006139614930515491
7,17.5,117.0,130.0,0.008193979774945074
8,20.5,136.5,152.5,0.007794637378570529
9,26.0,141.5,163.0,0.011559547933781377
10,26.5,146.0,168.0,0.011231377100348576
11,26.5,146.0,168.0,0.011187668163670244
