Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.2857142857142857,0.0,0.35714285714285715,0.0072516336730118315
2,3.2857142857142856,1.8571428571428572,5.071428571428571,0.016567788551190503
3,6.071428571428571,4.928571428571429,11.142857142857142,0.014500089889948642
4,10.857142857142858,8.357142857142858,19.071428571428573,0.021340915017052115
5,12.142857142857142,9.714285714285714,21.785714285714285,0.026667779643984764
6,22.571428571428573,14.785714285714286,35.0,0.03596835388264463
7,27.714285714285715,19.0,44.357142857142854,0.03666237333896501
8,35.5,24.642857142857142,55.642857142857146,0.03670519689998798
9,35.785714285714285,26.142857142857142,57.285714285714285,0.03630729548101317
10,36.214285714285715,26.857142857142858,58.285714285714285,0.0378093944788788
11,36.357142857142854,26.928571428571427,58.5,0.03768174339920161
