Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.28125,0.28125,0.40625,0.005752949435154526
2,3.375,1.8125,5.03125,0.01359408797943783
3,5.96875,2.53125,8.1875,0.013273584817736448
4,8.59375,3.96875,12.125,0.014505160461491497
5,13.5625,6.46875,19.28125,0.013366366234202284
6,19.21875,9.59375,28.03125,0.01599017048769399
7,20.90625,10.625,30.625,0.016243416871010607
8,22.65625,11.34375,33.03125,0.01638859349963105
9,24.5,12.5625,35.59375,0.016317222889495553
10,26.6875,14.75,40.53125,0.01569005432341542
