Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,4.5,4.5,0.00416224345335662
2,1.5,15.0,16.5,0.0035515238009757467
3,4.0,17.0,18.5,0.0051884979898376895
4,8.5,25.0,27.5,0.008561798666961763
5,10.0,29.5,32.0,0.008414925195440324
6,20.0,59.5,69.0,0.01244392301432955
7,21.5,84.5,94.0,0.011997760028127072
8,22.0,88.5,98.5,0.011923151162645852
9,22.0,97.0,107.0,0.011755789452198509
10,430.5,762.5,1484.5,0.05499605504428701
11,438.0,772.5,1502.0,0.05527741630226796
