Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,21.0,50.5,70.0,0.028382303013020055
2,27.5,81.0,110.0,0.010941668550486467
3,40.5,124.0,171.5,0.012523186027810333
4,41.5,211.0,249.0,0.008723629497763011
5,84.0,377.0,455.0,0.011282663730701192
6,108.0,503.5,612.5,0.01348010034787177
7,109.0,567.5,666.5,0.012421888879359024
8,122.5,634.5,732.5,0.013898555557575711
9,149.0,648.5,787.0,0.018499902983006408
10,167.0,672.0,836.5,0.020958646602258144
11,167.0,679.0,842.0,0.019943463187314638
