Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,5.85,2.9,8.2,0.009078398466653701
2,12.3,7.25,18.6,0.019171710147137044
3,20.95,13.2,31.45,0.019751051035250194
4,32.55,22.0,50.8,0.02144425647587122
5,48.55,32.05,76.75,0.02202003020098358
6,64.75,41.45,101.5,0.021963796542526486
7,73.35,44.6,113.95,0.022927708761149253
8,82.0,49.35,127.3,0.022133677666002525
9,84.15,50.7,131.0,0.022824437081916976
10,86.4,51.9,134.8,0.02292808628660179
11,86.65,52.25,135.25,0.023649284932694317
