Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,17.0,21.0,38.0,0.03513750456377653
2,18.0,43.0,61.0,0.02115607984122443
3,37.0,80.0,117.0,0.028541040003999183
4,46.0,114.0,160.0,0.026094472634992188
5,70.0,155.0,225.0,0.03303726071573706
6,105.0,182.0,287.0,0.05426677282645366
7,111.0,197.0,308.0,0.05427960687762093
8,111.0,204.0,315.0,0.05285751378531475
9,121.0,220.0,341.0,0.054578802055853616
10,131.0,255.0,386.0,0.054688468106660774
11,139.0,287.0,426.0,0.0491554951341405
