Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,1.4545454545454546,0.2727272727272727,1.7272727272727273,0.018792495403142453
2,2.909090909090909,0.7272727272727273,3.5454545454545454,0.031326746996123124
3,3.0,0.8181818181818182,3.727272727272727,0.03119223970034528
4,3.5454545454545454,0.9090909090909091,4.363636363636363,0.03229712787360401
5,6.454545454545454,2.0,8.363636363636363,0.03997193590133951
6,7.181818181818182,2.1818181818181817,9.0,0.03884720236969205
7,8.454545454545455,2.6363636363636362,10.727272727272727,0.0401319144624144
8,9.454545454545455,2.6363636363636362,11.727272727272727,0.0404463282348763
9,13.636363636363637,4.7272727272727275,18.0,0.054078206612142694
10,13.636363636363637,4.7272727272727275,18.0,0.05414214118710929
