Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,0.0,15.0,15.0,0.002600991499811631
2,6.0,50.0,56.0,0.0052825855205749835
3,6.0,67.0,73.0,0.0037531984008582478
4,6.0,110.0,116.0,0.004995461077829164
5,6.0,166.0,172.0,0.003937700412452222
6,6.0,254.0,260.0,0.002697160795218234
7,6.0,290.0,296.0,0.00272540256610414
8,6.0,328.0,334.0,0.0026726945692550396
9,6.0,378.0,384.0,0.0023674070965578626
10,6.0,452.0,458.0,0.002241619037102358
11,6.0,490.0,496.0,0.0027559149844203334
