Week,Weighted In Degree,Weighted Out Degree,Weighted Degree,Pagerank
1,2.8125,1.6875,4.3125,0.03225694939566805
2,6.9375,4.9375,11.25,0.03416847722193948
3,11.9375,8.75,20.0,0.0293898035245708
4,20.6875,13.9375,33.9375,0.0327194148210627
5,23.8125,15.3125,38.5,0.0316364789051329
6,27.125,16.9375,43.125,0.03372318411168996
7,30.0625,17.9375,47.1875,0.033873484507524365
8,33.0625,18.75,50.9375,0.033833409400288665
9,36.4375,20.4375,56.0,0.036481618241070685
10,41.375,22.5625,63.0625,0.036522098182880144
11,45.125,24.5625,68.875,0.03644688946303535
